,,,,,,
,link,title,snippet,date,source,"O,X"
,https://gigazine.net/gsc_news/en/20240701-cheap-radar-motion-sensor/,What's inside a cheap motion sensor that costs around 160 yen?,"10maurycy10, an engineer who reverse engineers various devices, published the results of his analysis of the microwave radar sensor 'RCWL-0516' that sells...",1 day ago,GIGAZINE,3
,https://technode.com/2024/07/01/chinese-companies-take-on-teslas-full-self-driving-with-non-lidar-approach-end-to-end-ai/,"China's carmakers take on Tesla FSD with vision approach, E2E AI · TechNode","As Tesla's most advanced driver assistance software (ADAS) is becoming an immediate threat due to its impending arrival in China, major Chinese electric.",20 hours ago,TechNode,1
,https://www.techradar.com/news/best-mirrorless-camera,The best mirrorless camera for 2024: top picks for every budget,"Welcome to our guide to the best mirrorless cameras you can buy, including our picks from Canon, Sony, Nikon. Fujifilm and more.",5 days ago,TechRadar,3
,https://www.techradar.com/pro/cheapest-smartphone-with-thermal-and-ir-night-vision-sensors-goes-on-sale-for-less-than-dollar300-ulefone-armor-25t-pro-promises-to-be-a-superb-rugged-handset-and-weve-called-in-one-for-a-review,"Cheapest smartphone with thermal and IR night vision sensors goes on sale for less than $300 — Ulefone Armor 25T ...","Chinese tech firm Ulefone, best known for rugged devices like the Armor 8 Pro, has launched its latest offering, the Armor 25T Pro, a 5G smartphone...",2 days ago,TechRadar,1
,https://www.techradar.com/news/best-camera,Best camera for photography 2024: top picks for any budget,"Our guide to the best camera for photography ranks the finest choices from Canon, Sony, Nikon and more.",4 days ago,TechRadar,3
,https://www.techradar.com/health-fitness/fitness-trackers/samsung-galaxy-ring-rumors-suggest-its-another-small-step-towards-reality,"Samsung Galaxy Ring: everything we know so far about the rumored Oura Ring rival","The Samsung Galaxy Ring is now official, after its surprising (and brief) teaser appearance at the end of Unpacked 2024 and its subsequent unveiling at MWC...",5 days ago,TechRadar,3
,https://www.techradar.com/phones/google-pixel-phones/pixel-9,Here's what we know about the Google Pixel 9 so far.,"Expect to see the Google Pixel 9 and Pixel 9 Pro as Google's flagship phones for 2024.",3 days ago,TechRadar,3
,https://www.defenseworld.net/2024/06/29/ultra-electronics-lonule-stock-crosses-below-two-hundred-day-moving-average-of-3500-00.html,"Ultra Electronics (LON:ULE) Stock Crosses Below Two Hundred Day Moving Average of $3500.00","Read Ultra Electronics (LON:ULE) Stock Crosses Below Two Hundred Day Moving Average of $3500.00 at Defense World.",3 days ago,Defense World,3
,https://www.techradar.com/best/best-dash-cam,The best dash cam 2024: finest car cameras for every budget,"Whatever your needs and budget, we've round up the best dash cams you can buy right now from Nextbase, Garmin, Thinkware and more.",5 days ago,TechRadar,3
,https://www.techradar.com/news/best-vlogging-camera,Best cameras for vlogging 2024: choices for every budget,"The best vlogging camera is the one you have with you. But if you're looking to upgrade your vlogging game, the options are plentiful.",5 days ago,TechRadar,3
,https://www.techradar.com/cameras/drones/dji-mavic-4-what-we-want-to-see,DJI Mavic 4: what we want to see,"With the DJI Mavic 3 series at three years old, the DJI Mavic 4 could be gracing the skies soon.",22 hours ago,TechRadar,3
,https://pulse2.com/bitsensing-advanced-radar-solutions-company-raises-25-million-in-series-b/,bitsensing: Advanced Radar Solutions Company Raises $25 Million In Series B,"bitsensing - a leading provider of advanced radar solutions - announced the closing of Series B funding round at $25 million.",6 days ago,Pulse 2.0,1
,http://www.msn.com/en-us/news/world/people-s-satellite-pierces-russian-camouflage-1500-targets-hit-claims-ukraine/ar-BB1oZRlz?item=flightsprg-tipsubsc-v1a%2F&apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,"People's Satellite' pierces Russian camouflage, 1500 targets hit, claims Ukraine","Ukraine has reportedly used a crowd-funded satellite called the “People's Satellite” to get vital intel...",6 days ago,MSN,3
,https://sg.finance.yahoo.com/news/northrop-noc-wins-contract-support-164800682.html,Northrop (NOC) Wins Contract to Support E-2D Hawkeye Jets,"Northrop (NOC) is set to manufacture and supply 12 motor controllers, 13 n-voice and data recorders, and 12 standard automatic flight control systems to...",6 days ago,Yahoo Finance Singapore,3
,https://www.techradar.com/best/electric-toothbrushes,Best electric toothbrush 2024: The best sonic and oscillating brushes,"The best electric toothbrushes are essential for oral hygiene. Clinically proven to remove more plaque than a manual toothbrush, electric toothbrushes'...",5 days ago,TechRadar,3
,https://telecom.economictimes.indiatimes.com/news/portal-in-portal/satcom/galaxeye-space-idex-dio-to-develop-multi-sensor-fusion-processing-system-for-iaf-satellites/111288896,"GalaxEye Space, iDEX DIO to develop multi-sensor fusion processing system for IAF satellites","GalaxEye Space: The innovative system will analyse data from Synthetic Aperture Radar (SAR), Earth Observation (EO), Infrared and Hyper-Spectral sensors...",5 days ago,ET Telecom,1
,https://www.msn.com/en-us/money/other/get-the-most-out-of-your-presence-sensors-with-these-pro-tips/ar-BB1p8h4d?item=themed_featuredapps_enableD?loadIn=defaultBrowser,Get the Most Out of Your Presence Sensors with These Pro Tips,"Smart home automation is all about maximizing efficiency and convenience, and presence sensors play a crucial role in this.",2 days ago,MSN,3
